,Participant_ID,Level,Mistake_Number,Mistake_Time_Stamp,Event_GSR,Event_HR,Event_RMSSD,Event_SDNN,Event_Mean_NNI,Event_LFN,Event_HFN,Event_LFHF_Ratio,Event_GSR_Peaks_Count,Event_GSR_Peak_Amplitude
855,2D0804,Level 3,174,1319557.033,5.3162308075470195,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,3,
856,2D0804,Level 3,176,1319598.48,5.313816033006019,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,3,
857,2D0804,Level 3,178,1319640.543,5.311396153233019,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,3,
858,2D0804,Level 3,181,1319696.273,5.307970542835023,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,3,
859,2D0804,Level 3,183,1319737.924,5.305024824207027,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,3,
860,2D0804,Level 3,185,1319780.342,5.30257431304403,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,3,
861,2D0804,Level 3,187,1319822.142,5.299613278722034,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,2,0.019879197564169976
862,2D0804,Level 3,190,1319877.938,5.29614682647404,79.84615384615384,762.3270295614606,731.323861051716,817.6153846153846,52.082744646787205,47.91725535321279,1.0869308824737418,3,
863,2D0804,Level 3,192,1319918.71,5.293650368229044,79.71428571428571,1119.5644414063615,735.8281758641785,759.2142857142857,42.71808181583459,57.28191818416541,0.7457515943948129,2,0.01988836338082313
864,2D0804,Level 3,194,1319961.369,5.291159015214048,79.71428571428571,1119.5644414063615,735.8281758641785,759.2142857142857,42.71808181583459,57.28191818416541,0.7457515943948129,2,0.019251452499386285
865,2D0804,Level 3,197,1320017.52,5.287187145040051,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,3,
866,2D0804,Level 3,199,1320058.782,5.284700897256053,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.01929021764655328
867,2D0804,Level 3,201,1320100.45,5.282209544243054,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.018943187617481413
868,2D0804,Level 3,204,1320155.985,5.278773723383056,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.018393109014019512
869,2D0804,Level 3,206,1320197.512,5.275833109989059,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.01901916786835929
870,2D0804,Level 3,208,1320239.908,5.273367283133061,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.01870227918230616
871,2D0804,Level 3,210,1320309.508,5.268966573508058,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.018184791026096755
872,2D0804,Level 3,211,1320336.858,5.267501372044057,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.017955221824599188
873,2D0804,Level 3,213,1320379.715,5.2645913900400565,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.018587673263048443
874,2D0804,Level 3,215,1320435.049,5.261221937193054,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.017674695811138424
875,2D0804,Level 3,217,1320476.561,5.258832688812051,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.017407065808558206
876,2D0804,Level 3,219,1320517.887,5.2559686538930475,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.01769662502545881
877,2D0804,Level 3,221,1320559.615,5.253594721205044,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.01729757281625645
878,2D0804,Level 3,223,1320601.394,5.251446134154197,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.016498674622035997
879,2D0804,Level 3,226,1320657.354,5.24950069601214,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.016294326970287182
880,2D0804,Level 3,228,1320698.736,5.247846696433108,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.01607762165707688
881,2D0804,Level 3,230,1320740.558,5.246484132793114,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.01629596314316578
882,2D0804,Level 3,233,1320796.471,5.244598118566783,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.015609774044136895
883,2D0804,Level 3,235,1320838.304,5.242993728909138,80.16666666666667,1217.0758548108809,798.8598077411594,774.0833333333334,42.90139173084315,57.09860826915685,0.7513561719159685,2,0.014877053540752777
884,2D0804,Level 3,237,1320880.888,5.241681225932549,79.92307692307692,1185.257039633176,764.8768293670322,772.3076923076923,35.55953720273331,64.44046279726669,0.5518200158587564,2,0.015093376989496698
885,2D0804,Level 3,239,1320921.705,5.240376338714033,79.92307692307692,1185.257039633176,764.8768293670322,772.3076923076923,35.55953720273331,64.44046279726669,0.5518200158587564,2,0.014823473829005118
886,2D0804,Level 3,242,1320978.778,5.238306164781096,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,2,0.014667100353221357
887,2D0804,Level 3,244,1321021.376,5.237035699965123,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,2,0.013916366380129941
888,2D0804,Level 3,245,1321093.513,5.234776837578037,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,2,0.013827189688757846
889,2D0804,Level 3,246,1321123.698,5.2337881097876,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,2,0.013470765393543471
890,2D0804,Level 3,247,1321296.84,5.228480852798945,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,2,0.012121884248423573
891,2D0804,Level 3,249,1321338.722,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
892,2D0804,Level 3,251,1321380.649,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
893,2D0804,Level 3,253,1321423.046,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
894,2D0804,Level 3,256,1321477.42,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
895,2D0804,Level 3,258,1321519.084,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
896,2D0804,Level 3,260,1321561.972,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
897,2D0804,Level 3,263,1321618.973,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
898,2D0804,Level 3,264,1321716.065,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
899,2D0804,Level 3,265,1321757.272,5.228242955511595,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,3,
900,2D0804,Level 3,267,1321797.705,5.227402070536737,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,4,
901,2D0804,Level 3,269,1321840.428,5.2261655784788275,80.0,1237.861315480711,798.4285133367238,779.5,39.31239392388149,60.687606076118506,0.647782907675963,4,
902,2D0804,Level 3,271,1321882.488,5.225138226647234,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
903,2D0804,Level 3,274,1321937.578,5.22370750556181,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
904,2D0804,Level 3,276,1321980.382,5.222491182222034,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
905,2D0804,Level 3,278,1322020.692,5.221481286214485,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
906,2D0804,Level 3,281,1322077.341,5.220083158000047,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
907,2D0804,Level 3,282,1322133.249,5.219285031082942,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
908,2D0804,Level 3,283,1322161.096,5.218891147725699,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
909,2D0804,Level 3,286,1322217.077,5.217509532721459,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
910,2D0804,Level 3,288,1322257.41,5.216530386165506,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
911,2D0804,Level 3,290,1322299.535,5.215361348026768,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
912,2D0804,Level 3,291,1322342.013,5.214393756759761,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
913,2D0804,Level 3,292,1322453.782,5.2117466850000485,79.6923076923077,1185.1915457005252,764.603433327637,775.0769230769231,33.56141135534387,66.43858864465612,0.5051493723752262,4,
914,2D0804,Level 3,293,1322482.646,5.210541111665039,79.58333333333333,1237.737048003331,798.5174710143489,778.1666666666666,40.28227142707152,59.717728572928486,0.6745446015730154,3,0.012364417515939856
915,2D0804,Level 3,296,1322537.022,5.207644380662018,79.58333333333333,1237.737048003331,798.5174710143489,778.1666666666666,40.28227142707152,59.717728572928486,0.6745446015730154,3,0.012426847365272671
916,2D0804,Level 3,298,1322578.547,5.205579689415536,79.58333333333333,1237.737048003331,798.5174710143489,778.1666666666666,40.28227142707152,59.717728572928486,0.6745446015730154,3,0.012016428244606817
917,2D0804,Level 3,300,1322620.395,5.203134930628811,79.58333333333333,1237.737048003331,798.5174710143489,778.1666666666666,40.28227142707152,59.717728572928486,0.6745446015730154,3,0.011647081312340282
918,2D0804,Level 3,303,1322675.88,5.200320376396414,79.58333333333333,1237.737048003331,798.5174710143489,778.1666666666666,40.28227142707152,59.717728572928486,0.6745446015730154,3,0.011320705414570337
