,index,Timestamp,Heart rate,R-R interval,MarkerName,GSR Conductance CAL
2549,22431,274931.9332,,,,2.466666667
2550,22432,274939.7457,,,,2.46959707
2551,22433,274947.5582,,,,2.466666667
2552,22434,274955.3707,,,,2.471062271
2553,22435,274963.1832,,,,2.46959707
2554,22436,274970.9957,,,,2.468131868
2555,22437,274978.8082,,,,2.46959707
2556,22438,274986.6207,,,,2.468131868
2557,22439,274994.4332,,,,2.466666667
2558,22440,275002.2457,,,,2.468131868
2559,22441,275010.0582,,,,2.466666667
2560,22442,275017.8707,,,,2.46959707
2561,22443,275025.6832,,,,2.466666667
2562,22444,275033.4957,,,,2.466666667
2563,22445,275041.3082,,,,2.468131868
2564,22446,275049.1207,,,,2.466666667
2565,22447,275056.9332,,,,2.46959707
2566,22448,275064.7457,,,,2.465201465
2567,22449,275072.5582,,,,2.465201465
2568,22450,275080.3707,,,,2.468131868
2569,22451,275088.1832,,,,2.465201465
2570,22452,275095.9957,,,,2.468131868
2571,22453,275103.8082,,,,2.466666667
2572,22454,275111.6207,,,,2.466666667
2573,22455,275119.4332,,,,2.468131868
2574,22456,275127.2457,,,,2.465201465
2575,22457,275135.0582,,,,2.465201465
2576,22458,275142.8707,,,,2.468131868
2577,22459,275150.6832,,,,2.465201465
2578,22460,275158.4957,,,,2.468131868
2579,22461,275166.3082,,,,2.466666667
2580,22462,275174.1207,,,,2.468131868
2581,22463,275181.9332,,,,2.468131868
2582,22464,275189.7457,,,,2.465201465
2583,22465,275197.5582,,,,2.468131868
2584,22466,275205.3707,,,,2.468131868
2585,22467,275213.1832,,,,2.466666667
2586,22468,275220.9957,,,,2.468131868
2587,22469,275228.8082,,,,2.465201465
2588,22470,275236.6207,,,,2.46959707
2589,22471,275244.4332,,,,2.466666667
2590,22472,275246.5915,,,BuzzWireHit,
2591,22473,275252.2457,,,,2.466666667
2592,22474,275260.0582,,,,2.466666667
2593,22475,275265.8219,,,BuzzWireHit,
2594,22476,275267.8707,,,,2.466666667
2595,22477,275275.6832,,,,2.466666667
2596,22478,275283.4957,,,,2.463736264
2597,22479,275287.0216,,,BuzzWireHit,
2598,22480,275291.3082,,,,2.463736264
2599,22481,275299.1207,,,,2.468131868
2600,22482,275306.8026,,,BuzzWireHit,
2601,22483,275306.9332,,,,2.463736264
2602,22484,275314.7457,,,,2.466666667
2603,22485,275322.5582,,,,2.465201465
2604,22486,275325.7519,,,BuzzWireHit,
2605,22487,275330.3707,,,,2.463736264
2606,22488,275338.1832,,,,2.465201465
2607,22489,275345.0105,,,BuzzWireHit,
2608,22490,275345.9957,,,,2.463736264
2609,22491,275353.8082,,,,2.462271062
2610,22492,275361.6207,,,,2.463736264
2611,22493,275366.0315,,,BuzzWireHit,
2612,22494,275369.4332,,,,2.460805861
2613,22495,275377.2457,,,,2.462271062
2614,22496,275385.0582,,,,2.460805861
2615,22497,275386.2391,,,BuzzWireHit,
2616,22498,275392.8707,,,,2.460805861
2617,22499,275400.6832,,,,2.462271062
2618,22500,275405.2587,,,BuzzWireHit,
2619,22501,275408.4957,,,,2.457875458
2620,22502,275416.3082,,,,2.463736264
2621,22503,275424.1207,,,,2.462271062
2622,22504,275424.7295,,,BuzzWireHit,
2623,22505,275431.9332,,,,2.459340659
2624,22506,275439.7457,,,,2.459340659
2625,22507,275445.3335,,,BuzzWireHit,
2626,22508,275447.5582,,,,2.456410256
2627,22509,275455.3707,,,,2.459340659
2628,22510,275463.1832,,,,2.457875458
2629,22511,275467.0701,,,BuzzWireHit,
2630,22512,275470.9957,,,,2.456410256
2631,22513,275478.8082,,,,2.457875458
2632,22514,275485.5871,,,BuzzWireHit,
2633,22515,275486.6207,,,,2.456410256
2634,22516,275486.9166,75.0,770.0,,
2635,22517,275494.4332,,,,2.456410256
2636,22518,275502.2457,,,,2.456410256
2637,22519,275506.5176,,,BuzzWireHit,
2638,22520,275510.0582,,,,2.452014652
2639,22521,275517.8707,,,,2.457875458
2640,22522,275525.6832,,,,2.454945055
2641,22523,275525.774,,,BuzzWireHit,
2642,22524,275533.4957,,,,2.453479853
2643,22525,275541.3082,,,,2.453479853
2644,22526,275547.1852,,,BuzzWireHit,
2645,22527,275549.1207,,,,2.452014652
2646,22528,275556.9332,,,,2.454945055
2647,22529,275564.7457,,,,2.452014652
2648,22530,275567.2153,,,BuzzWireHit,
2649,22531,275572.5582,,,,2.449084249
2650,22532,275580.3707,,,,2.453479853
2651,22533,275585.682,,,BuzzWireHit,
2652,22534,275588.1832,,,,2.449084249
2653,22535,275595.9957,,,,2.452014652
2654,22536,275603.8082,,,,2.452014652
2655,22537,275606.6259,,,BuzzWireHit,
2656,22538,275611.6207,,,,2.449084249
2657,22539,275619.4332,,,,2.450549451
2658,22540,275627.1786,,,BuzzWireHit,
2659,22541,275627.2457,,,,2.447619048
2660,22542,275635.0582,,,,2.449084249
2661,22543,275642.8707,,,,2.449084249
2662,22544,275646.2077,,,BuzzWireHit,
2663,22545,275650.6832,,,,2.446153846
2664,22546,275658.4957,,,,2.447619048
2665,22547,275666.3082,,,,2.444688645
2666,22548,275666.943,,,BuzzWireHit,
2667,22549,275674.1207,,,,2.447619048
2668,22550,275681.9332,,,,2.449084249
2669,22551,275687.0492,,,BuzzWireHit,
2670,22552,275689.7457,,,,2.443223443
2671,22553,275697.5582,,,,2.446153846
2672,22554,275705.3707,,,,2.446153846
2673,22555,275706.2564,,,BuzzWireHit,
2674,22556,275713.1832,,,,2.443223443
2675,22557,275720.9957,,,,2.444688645
2676,22558,275726.7657,,,BuzzWireHit,
2677,22559,275728.8082,,,,2.44029304
2678,22560,275736.6207,,,,2.444688645
2679,22561,275744.4332,,,,2.441758242
2680,22562,275746.6844,,,BuzzWireHit,
2681,22563,275752.2457,,,,2.44029304
2682,22564,275760.0582,,,,2.444688645
2683,22565,275765.3296,,,BuzzWireHit,
2684,22566,275767.8707,,,,2.441758242
2685,22567,275775.6832,,,,2.441758242
2686,22568,275783.4957,,,,2.441758242
2687,22569,275785.2682,,,BuzzWireHit,
2688,22570,275791.3082,,,,2.44029304
2689,22571,275799.1207,,,,2.444688645
2690,22572,275806.9332,,,,2.44029304
2691,22573,275808.5468,,,BuzzWireHit,
2692,22574,275814.7457,,,,2.443223443
2693,22575,275822.5582,,,,2.44029304
2694,22576,275826.0689,,,BuzzWireHit,
2695,22577,275830.3707,,,,2.438827839
2696,22578,275838.1832,,,,2.441758242
2697,22579,275845.9957,,,,2.438827839
2698,22580,275846.099,,,BuzzWireHit,
2699,22581,275853.8082,,,,2.438827839
2700,22582,275861.6207,,,,2.44029304
2701,22583,275865.3276,,,BuzzWireHit,
2702,22584,275869.4332,,,,2.435897436
2703,22585,275877.2457,,,,2.438827839
2704,22586,275885.0582,,,,2.438827839
2705,22587,275887.3971,,,BuzzWireHit,
2706,22588,275892.8707,,,,2.437362637
2707,22589,275900.6832,,,,2.437362637
2708,22590,275906.1892,,,BuzzWireHit,
2709,22591,275908.4957,,,,2.434432234
2710,22592,275916.3082,,,,2.435897436
2711,22593,275924.1207,,,,2.435897436
2712,22594,275925.1766,,,BuzzWireHit,
2713,22595,275931.9332,,,,2.434432234
2714,22596,275939.7457,,,,2.437362637
2715,22597,275946.4532,,,BuzzWireHit,
2716,22598,275947.5582,,,,2.432967033
2717,22599,275955.3707,,,,2.435897436
2718,22600,275963.1832,,,,2.434432234
2719,22601,275970.9957,,,,2.432967033
2720,22602,275978.8082,,,,2.434432234
2721,22603,275986.6207,,,,2.432967033
2722,22604,275994.4332,,,,2.431501832
2723,22605,276002.2457,,,,2.432967033
2724,22606,276010.0582,,,,2.428571429
2725,22607,276017.8707,,,,2.432967033
2726,22608,276025.6832,,,,2.428571429
2727,22609,276033.4957,,,,2.428571429
2728,22610,276041.3082,,,,2.43003663
2729,22611,276049.1207,,,,2.43003663
2730,22612,276056.9332,,,,2.431501832
2731,22613,276064.7457,,,,2.428571429
2732,22614,276072.5582,,,,2.427106227
2733,22615,276080.3707,,,,2.428571429
2734,22616,276088.1832,,,,2.425641026
2735,22617,276095.9957,,,,2.428571429
2736,22618,276103.8082,,,,2.425641026
2737,22619,276111.6207,,,,2.425641026
2738,22620,276119.4332,,,,2.427106227
2739,22621,276127.2457,,,,2.424175824
2740,22622,276135.0582,,,,2.425641026
2741,22623,276142.8707,,,,2.425641026
2742,22624,276150.6832,,,,2.422710623
2743,22625,276158.4957,,,,2.424175824
2744,22626,276166.3082,,,,2.422710623
2745,22627,276174.1207,,,,2.424175824
2746,22628,276181.9332,,,,2.424175824
2747,22629,276189.7457,,,,2.421245421
2748,22630,276197.5582,,,,2.422710623
2749,22631,276205.3707,,,,2.422710623
2750,22632,276213.1832,,,,2.421245421
2751,22633,276220.9957,,,,2.422710623
2752,22634,276228.8082,,,,2.418315018
2753,22635,276236.6207,,,,2.422710623
2754,22636,276244.4332,,,,2.421245421
2755,22637,276252.2457,,,,2.41978022
2756,22638,276260.0582,,,,2.421245421
2757,22639,276267.8707,,,,2.418315018
2758,22640,276275.6832,,,,2.41978022
2759,22641,276283.4957,,,,2.418315018
2760,22642,276291.3082,,,,2.415384615
2761,22643,276299.1207,,,,2.41978022
2762,22644,276306.9332,,,,2.416849817
2763,22645,276314.7457,,,,2.416849817
2764,22646,276322.5582,,,,2.416849817
2765,22647,276330.3707,,,,2.415384615
2766,22648,276338.1832,,,,2.416849817
2767,22649,276345.9957,,,,2.415384615
2768,22650,276353.8082,,,,2.413919414
2769,22651,276361.6207,,,,2.416849817
2770,22652,276369.4332,,,,2.412454212
2771,22653,276377.2457,,,,2.415384615
2772,22654,276385.0582,,,,2.412454212
2773,22655,276392.8707,,,,2.413919414
2774,22656,276400.6832,,,,2.413919414
2775,22657,276408.4957,,,,2.410989011
2776,22658,276416.3082,,,,2.413919414
2777,22659,276424.1207,,,,2.413919414
2778,22660,276431.9332,,,,2.410989011
2779,22661,276439.7457,,,,2.413919414
2780,22662,276447.5582,,,,2.40952381
2781,22663,276455.3707,,,,2.412454212
2782,22664,276463.1832,,,,2.412454212
2783,22665,276470.9957,,,,2.40952381
2784,22666,276476.1423,76.0,754.0,,
2785,22667,276478.8082,,,,2.413919414
2786,22668,276486.6207,,,,2.40952381
2787,22669,276494.4332,,,,2.40952381
2788,22670,276502.2457,,,,2.40952381
2789,22671,276510.0582,,,,2.406593407
2790,22672,276517.8707,,,,2.410989011
2791,22673,276525.6832,,,,2.40952381
2792,22674,276533.4957,,,,2.408058608
2793,22675,276541.3082,,,,2.40952381
2794,22676,276549.1207,,,,2.408058608
2795,22677,276556.9332,,,,2.40952381
2796,22678,276564.7457,,,,2.408058608
2797,22679,276572.5582,,,,2.406593407
2798,22680,276580.3707,,,,2.40952381
2799,22681,276588.1832,,,,2.405128205
2800,22682,276595.9957,,,,2.408058608
2801,22683,276603.8082,,,,2.408058608
2802,22684,276611.6207,,,,2.405128205
2803,22685,276619.4332,,,,2.408058608
2804,22686,276627.2457,,,,2.405128205
2805,22687,276635.0582,,,,2.405128205
2806,22688,276642.8707,,,,2.406593407
2807,22689,276650.6832,,,,2.402197802
2808,22690,276658.4957,,,,2.405128205
2809,22691,276666.3082,,,,2.403663004
2810,22692,276674.1207,,,,2.406593407
2811,22693,276681.9332,,,,2.403663004
2812,22694,276689.7457,,,,2.400732601
2813,22695,276697.5582,,,,2.405128205
2814,22696,276705.3707,,,,2.403663004
2815,22697,276713.1832,,,,2.402197802
2816,22698,276720.9957,,,,2.403663004
2817,22699,276728.8082,,,,2.399267399
2818,22700,276736.6207,,,,2.405128205
2819,22701,276744.4332,,,,2.402197802
2820,22702,276752.2457,,,,2.400732601
2821,22703,276760.0582,,,,2.402197802
2822,22704,276767.8707,,,,2.400732601
2823,22705,276775.6832,,,,2.402197802
2824,22706,276783.4957,,,,2.400732601
2825,22707,276791.3082,,,,2.397802198
2826,22708,276799.1207,,,,2.402197802
2827,22709,276806.9332,,,,2.400732601
2828,22710,276814.7457,,,,2.400732601
2829,22711,276822.5582,,,,2.400732601
2830,22712,276825.7251,,,BuzzWireHit,
2831,22713,276830.3707,,,,2.399267399
2832,22714,276838.1832,,,,2.400732601
2833,22715,276845.9841,,,BuzzWireHit,
